 freq_hz  | rolling_mean | signal_dbm 
 89266702 |   -14.962353 |     -14.65
 89269426 |   -14.885882 |     -14.22
 89272150 |   -14.796471 |     -14.62
 89274874 |   -14.667059 |     -13.53
 89277598 |   -14.568824 |     -12.97
 89280322 |   -14.458236 |     -13.68
 89283046 |   -14.324706 |     -13.37
 89285770 |   -14.232942 |     -13.37
 89288495 |   -14.130589 |     -13.37
 89291219 |   -14.068235 |     -13.34
 89293943 |   -13.997059 |      -13.9
 89296667 |   -13.837059 |     -13.45
 89299391 |   -13.792353 |     -13.39
 89302115 |   -13.752353 |     -13.57
 89304839 |   -13.752941 |     -14.07
 89307563 |   -13.747059 |     -13.81
 89310287 |  -13.8017645 |     -15.32
 89313011 |   -13.762941 |     -13.99
 89315735 |    -13.76353 |     -14.23
 89318460 |       -13.82 |     -15.58
 89321184 |   -13.875294 |     -14.47
 89323908 |   -14.007059 |     -15.21
 89326632 |   -14.092941 |     -15.14
 89329356 |   -14.115294 |     -13.75
 89332080 |   -14.185883 |     -14.57
 89334804 |   -14.305294 |      -15.4
 89337528 |   -14.364706 |     -14.35
 89340252 |   -14.450588 |     -15.36
 89342976 |   -14.497647 |     -14.25
 89345700 |    -14.59353 |     -15.02
 89348425 |   -14.640588 |     -14.37
 89351149 |   -14.672941 |     -14.62
 89353873 |   -14.678823 |     -13.91
 89356597 |   -14.571177 |     -13.49
 89359321 |   -14.591764 |     -14.34
 89362045 |   -14.614706 |     -14.62
 89364769 |   -14.544118 |     -14.38
 89367493 |   -14.545882 |      -14.5
 89370217 |   -14.505294 |     -14.52
 89372941 |   -14.462941 |     -14.42
 89375665 |   -14.568824 |     -15.55
 89378390 |       -14.58 |     -14.76
 89381114 |       -14.54 |     -14.72
 89383838 |   -14.578236 |        -15
 89386562 |   -14.594118 |     -15.63
 89389286 |   -14.652353 |     -15.24
 89392010 |   -14.685294 |     -15.58
 89394734 |   -14.755882 |     -15.57
 89397458 |   -14.811765 |     -15.57
 89400182 |   -14.895883 |     -15.34
 89402906 |   -15.002353 |      -15.3
 89405630 |   -15.038236 |     -14.95
 89408355 |   -15.071177 |     -15.18
 89411079 |   -15.181765 |     -16.26
 89413803 |   -15.277647 |     -16.13
 89416527 |   -15.324118 |     -15.31
 89419251 |   -15.347059 |     -14.81
 89421975 |   -15.330588 |     -15.27
 89424699 |   -15.307647 |     -14.37
 89427423 |   -15.299412 |     -14.58
 89430147 |   -15.348235 |     -15.83
 89432871 |   -15.302353 |     -14.85
 89435595 |   -15.244118 |     -14.25
 89438320 |   -15.139412 |      -13.8
 89441044 |   -15.064706 |      -14.3
 89443768 |    -15.02647 |     -14.92
 89446492 |   -14.954118 |     -14.11
 89449216 |   -14.948824 |     -15.21
 89451940 |    -14.96353 |      -15.2
 89454664 |   -14.991177 |     -15.65
 89457388 |   -14.882353 |     -14.41
 89460112 |   -14.701765 |     -13.06
 89462836 |   -14.665882 |      -14.7
 89465560 |   -14.537059 |     -12.62
 89468285 |   -14.387647 |     -12.73
 89471009 |   -14.311765 |     -13.08
 89473733 |       -14.18 |     -12.34
 89476457 |   -13.974706 |     -12.34
 89479181 |   -13.686471 |      -9.95
 89481905 |   -13.488824 |     -10.89
 89484629 |   -13.426471 |     -12.74
 89487353 |   -13.281765 |     -11.84
 89490077 |   -13.107647 |     -11.96
 89492801 |   -12.805882 |      -8.98
 89495525 |   -12.281177 |      -6.29
 89498250 |   -11.372353 |       0.25
 89500974 |   -10.422353 |        0.5
 89503698 |    -9.997059 |      -7.18
 89506422 |    -9.741177 |      -8.71
 89509146 |     -9.34353 |      -7.94
 89511870 |    -9.085294 |      -8.23
 89514594 |    -8.877059 |      -9.19
 89517318 |    -8.537059 |       -7.3
 89520042 |    -8.413529 |     -10.24
 89522766 |    -8.312942 |     -10.63
 89525490 |     -8.38353 |     -11.15
 89528214 |    -8.422353 |     -11.55
 89530939 |    -8.413529 |     -12.59
 89533663 |    -8.464705 |     -12.71
 89536387 |    -8.572941 |      -13.8
 89539111 |    -8.873529 |     -14.09
 89541835 |    -9.297059 |     -13.49
 89544559 |  -10.1388235 |     -14.06
 89547283 |   -10.955294 |     -13.38
 89550007 |   -11.337059 |     -13.67
 89552731 |   -11.564117 |     -12.57
 89555455 |   -11.868824 |     -13.12
 89558179 |   -12.132941 |     -12.72
 89560904 |   -12.377647 |     -13.35
 89563628 |   -12.693529 |     -12.67
 89566352 |   -12.823529 |     -12.45
 89569076 |   -12.985883 |     -13.39
 89571800 |        -13.1 |     -13.09
 89574524 |   -13.231176 |     -13.78
 89577248 |   -13.232353 |     -12.61
 89579972 |   -13.233529 |     -12.73
 89582696 |   -13.187647 |     -13.02
 89585420 |   -13.058235 |     -11.89
 89588144 |   -12.979412 |     -12.15
 89590869 |   -12.877059 |     -12.32
 89593593 |    -12.82647 |     -12.52
 89596317 |   -12.755882 |     -12.47
 89599041 |   -12.695294 |     -11.54
 89601765 |  -12.6029415 |     -11.55
 89604489 |   -12.577647 |     -12.29
 89607213 |   -12.461764 |     -11.38
 89609937 |   -12.411177 |     -11.81
 89612661 |   -12.314117 |      -10.8
 89615385 |   -12.191176 |      -11.3
 89618109 |   -12.155294 |     -12.48
 89620834 |    -12.00353 |      -11.2
 89623558 |   -11.881764 |     -10.54
 89626282 |   -11.788236 |     -11.14
 89629006 |    -11.65647 |     -10.78
 89631730 |   -11.658236 |     -11.92
 89634454 |   -11.614118 |      -11.4
 89637178 |       -11.58 |     -11.74
 89639902 |   -11.551176 |     -12.03
 89642626 |   -11.475294 |     -11.18
 89645350 |   -11.445294 |     -11.03
 89648074 |   -11.450588 |     -11.64
 89650799 |   -11.451177 |      -12.3
 89653523 |  -11.5076475 |     -12.34
 89656247 |   -11.488235 |     -11.48
 89658971 |   -11.504118 |     -11.07
 89661695 |   -11.517058 |     -11.52
 89664419 |   -11.475883 |     -11.78
 89667143 |   -11.501177 |     -11.63
 89669867 |   -11.598235 |     -12.19
 89672591 |   -11.695883 |      -12.8
 89675315 |   -11.757059 |     -11.82
 89678039 |   -11.757059 |     -11.92
 89680764 |   -11.844706 |     -12.89
 89683488 |   -11.835882 |     -11.59
 89686212 |    -11.73647 |     -10.34
 89688936 |   -11.785882 |     -12.02
 89691660 |   -11.887647 |     -12.76
 89694384 |   -11.982353 |     -13.25
 89697108 |   -11.979412 |     -12.25
 89699832 |   -12.031177 |     -13.22
 89702556 |   -12.090589 |     -12.49
 89705280 |        -12.2 |     -12.93
 89708004 |   -12.256471 |     -12.48
 89710729 |   -12.287647 |     -12.31
 89713453 |   -12.347059 |     -12.64
 89716177 |        -12.4 |     -13.09
 89718901 |   -12.505294 |     -14.59
 89721625 |   -12.622353 |     -13.81
 89724349 |       -12.83 |     -15.45
 89727073 |   -12.927059 |     -14.54
 89729797 |   -13.129412 |     -15.03
 89732521 |   -13.439412 |     -15.61
 89735245 |       -13.61 |     -14.92
 89737969 |   -13.725294 |     -14.72
 89740694 |    -13.84353 |     -15.26
 89743418 |   -13.931176 |     -13.74
 89746142 |   -14.065883 |     -15.51
 89748866 |    -14.21353 |        -15
 89751590 |   -14.304117 |     -14.47
 89754314 |   -14.441765 |     -14.82
 89757038 |   -14.577059 |     -14.61
 89759762 |   -14.728824 |     -15.22
 89762486 |   -14.802353 |     -14.34
 89765210 |   -14.836471 |     -15.17
 89767934 |   -14.885294 |     -14.64
 89770659 |   -14.865882 |     -15.12
 89773383 |   -14.853529 |     -14.33
 89776107 |   -14.885294 |     -15.57
 89778831 |   -14.842353 |     -14.88
 89781555 |   -14.924118 |     -16.31
 89784279 |   -14.966471 |     -15.44
 89787003 |   -14.931176 |     -14.66
 89789727 |   -15.004118 |     -14.98
 89792451 |   -14.988824 |     -15.25
 89795175 |   -14.952353 |     -14.38
 89797899 |    -15.01353 |     -15.51
 89800623 |   -15.067059 |     -15.73
 89803348 |   -15.126471 |     -15.62
 89806072 |   -15.114118 |     -15.01
 89808796 |   -15.114118 |     -14.34
 89811520 |   -15.152941 |     -15.83
 89814244 |   -15.166471 |     -14.87
 89816968 |   -15.129412 |     -14.49
 89819692 |   -15.168235 |     -14.99
 89822416 |  -15.1388235 |     -15.07
 89825140 |   -15.115882 |     -14.49
 89827864 |   -14.997647 |      -14.3
 89830588 |  -14.9247055 |      -14.2
 89833313 |   -14.901765 |     -14.27
 89836037 |   -14.864118 |     -14.34
 89838761 |   -14.737647 |      -13.1
 89841485 |   -14.702941 |     -13.79
 89844209 |   -14.694706 |     -15.37
 89846933 |   -14.569412 |      -13.6
 89849657 |   -14.464118 |     -13.83
 89852381 |   -14.394117 |     -13.82
 89855105 |   -14.380589 |     -14.11
 89857829 |   -14.307647 |     -14.59
 89860553 |   -14.297059 |     -14.69
 89863278 |   -14.284706 |     -14.28
 89866002 |   -14.219412 |     -13.88
 89868726 |   -14.189412 |     -14.56
 89871450 |    -14.21353 |      -14.9
 89874174 |   -14.218235 |     -14.38
 89876898 |   -14.214118 |     -14.13
 89879622 |   -14.187058 |     -13.81
 89882346 |   -14.137647 |      -13.5
 89885070 |   -14.268824 |     -15.33
 89887794 |  -14.2576475 |      -13.6
 89890518 |   -14.128823 |     -13.18
 89893243 |   -14.141176 |     -13.81
